host_id,edge_id,source_ip_risk,destination_ip_risk,vulnerability_score,privilege_level,connection_type,anomaly_score,failed_login_attempts,suspicious_process,lateral_movement
103,32,0.85709694,0.284871207,2,low,api,0.405914343,9,0,0
180,55,0.817107099,0.752473091,8,low,rdp,0.920862092,9,0,1
93,352,0.448346471,0.030605496,2,medium,rdp,0.080560799,8,1,0
15,389,0.489238861,0.283311335,3,low,ssh,0.777134053,18,1,0
107,36,0.217748705,0.498633506,8,medium,rdp,0.395534396,10,0,0
72,110,0.07830167,0.045059582,3,low,smb,0.81126285,5,0,0
189,490,0.573431825,0.186034061,2,low,ssh,0.513402185,1,0,0
21,177,0.098344922,0.934536982,6,medium,rdp,0.039282039,9,0,0
103,362,0.449274547,0.976834265,5,medium,ssh,0.946205885,14,0,1
122,314,0.940497199,0.739749947,0,low,smb,0.082734063,4,0,0
75,295,0.952834389,0.252200051,9,low,rdp,0.597683503,17,0,1
88,336,0.239332287,0.260517445,7,high,ssh,0.877667763,6,0,0
117,97,0.62411342,0.645790358,0,medium,rdp,0.079769798,2,0,0
100,369,0.474076264,0.117599617,3,low,ssh,0.553893388,15,1,0
104,213,0.875685128,0.94830938,5,low,ssh,0.824289876,16,1,1
152,317,0.271430864,0.2248129,5,low,smb,0.986324709,1,0,0
131,137,0.003702407,0.999635625,6,low,smb,0.724327401,15,0,0
150,6,0.162561206,0.495733795,4,medium,rdp,0.278334375,19,0,0
53,499,0.349522801,0.771429989,4,medium,api,0.69957033,0,0,0
2,109,0.31572113,0.002184095,3,medium,rdp,0.705766769,13,0,0
88,35,0.791362919,0.888746405,5,low,ssh,0.699966012,15,0,1
158,39,0.680560666,0.270002045,6,high,smb,0.854260437,8,0,0
38,150,0.29955632,0.667936745,9,low,smb,0.087380063,16,1,1
130,425,0.457743817,0.806355281,9,high,ssh,0.108419845,7,0,0
192,118,0.095559104,0.164147741,0,low,api,0.640617124,8,0,0
188,261,0.898146445,0.442509481,8,low,smb,0.953881096,1,0,1
21,426,0.935424824,0.493835941,7,medium,api,0.465838639,12,0,1
161,87,0.979803535,0.312119465,6,low,smb,0.960562702,0,0,0
58,465,0.868552831,0.48175583,8,medium,ssh,0.93808526,6,0,1
22,76,0.173960888,0.317545658,2,medium,rdp,0.902909738,17,0,0
89,471,0.046196483,0.360747745,9,low,rdp,0.909850975,4,1,0
49,464,0.579596727,0.669331179,3,medium,api,0.898318793,6,0,0
59,451,0.912605027,0.632593268,6,low,rdp,0.819889384,11,0,1
170,414,0.177351362,0.232265726,5,low,ssh,0.694978959,16,0,0
188,313,0.007042915,0.897482885,1,high,rdp,0.024408179,4,0,0
15,383,0.805496046,0.862788546,1,high,api,0.132253592,11,0,1
190,214,0.076795684,0.509083307,9,low,ssh,0.134232055,18,0,0
190,457,0.413706032,0.433250743,6,low,ssh,0.023540284,12,0,0
175,285,0.678887337,0.376855983,8,low,smb,0.116701768,15,1,1
190,239,0.236797585,0.707267919,8,medium,smb,0.919746434,18,0,0
51,165,0.083962563,0.671666057,6,high,rdp,0.663804287,9,0,0
108,87,0.770021228,0.196180607,7,low,api,0.312073018,11,0,0
55,141,0.630175085,0.671458031,9,medium,ssh,0.793360012,6,0,1
64,160,0.988490484,0.252431194,2,low,rdp,0.488369487,13,0,0
131,46,0.344308033,0.018558337,0,low,rdp,0.142127037,9,0,0
51,372,0.061762386,0.699208678,6,high,smb,0.884502081,7,0,0
135,495,0.734350035,0.644793602,7,low,rdp,0.338661946,14,0,1
21,112,0.521733419,0.410809262,1,low,rdp,0.698859231,15,0,0
73,407,0.213203931,0.525686056,8,medium,smb,0.29059416,7,0,0
167,45,0.781728989,0.947169192,3,low,rdp,0.500071251,3,0,1
18,401,0.203755486,0.595200181,9,low,rdp,0.816252712,16,0,0
132,247,0.260661655,0.657883935,8,high,ssh,0.156777346,3,0,0
89,104,0.092528554,0.063911321,2,medium,rdp,0.977251395,10,0,0
60,85,0.399432279,0.165994461,7,medium,smb,0.070215923,12,1,0
14,450,0.418929224,0.300952276,1,low,smb,0.53400891,5,0,0
9,485,0.51456179,0.539379318,2,low,ssh,0.916025519,13,0,0
90,134,0.708964267,0.776590896,0,high,smb,0.945693885,6,0,1
53,108,0.906100929,0.321240878,4,low,smb,0.232108963,11,0,0
130,18,0.137734099,0.35638243,3,low,smb,0.143984981,0,0,0
84,94,0.054348098,0.256150885,0,low,rdp,0.724403,9,0,0
92,150,0.018531234,0.254609329,9,low,ssh,0.041973568,0,0,0
111,246,0.143621378,0.948863846,8,low,api,0.485238969,15,0,0
188,289,0.657949486,0.63545718,5,high,ssh,0.796355227,6,0,0
199,414,0.727477078,0.155901244,5,high,ssh,0.560254725,19,0,0
172,209,0.786505714,0.722248578,1,medium,ssh,0.188013266,5,0,0
8,126,0.243708212,0.722021143,6,medium,api,0.487044299,17,0,0
175,235,0.305894813,0.666470196,8,high,api,0.921274716,19,0,1
35,416,0.483134646,0.134720445,5,medium,smb,0.617212978,3,0,0
81,426,0.063183097,0.407991483,7,low,rdp,0.721490628,15,0,0
164,499,0.611141523,0.10675633,4,low,smb,0.33626388,0,0,0
50,462,0.983735034,0.816620504,1,low,smb,0.188483775,19,0,1
104,122,0.360806311,0.655172143,3,low,api,0.25564223,1,0,0
132,138,0.752847475,0.507203937,0,low,smb,0.533177594,15,0,0
2,495,0.500033916,0.343015477,0,low,smb,0.280220154,8,0,0
134,115,0.127811844,0.184249474,5,low,api,0.541964787,14,0,0
54,420,0.582237449,0.106447589,1,low,ssh,0.707791927,15,0,0
106,162,0.299874268,0.969240608,5,low,ssh,0.734395876,8,0,0
4,201,0.034403208,0.199648642,0,low,api,0.16468494,6,0,0
54,234,0.63492973,0.059874627,9,medium,rdp,0.750430849,9,1,0
191,28,0.858932349,0.961666772,2,low,smb,0.67268814,6,1,1
146,11,0.344769767,0.548951741,8,medium,ssh,0.012005133,12,0,0
44,206,0.390295547,0.796656735,1,high,api,0.058872175,1,0,0
162,167,0.891021683,0.043765847,7,medium,rdp,0.646249502,11,0,0
190,247,0.813608813,0.566945857,5,medium,smb,0.3837039,12,0,1
14,47,0.714952824,0.398209964,5,high,api,0.146104,2,0,0
95,246,0.248797064,0.771964434,6,low,api,0.044396559,10,0,0
48,127,0.910216655,0.038425646,4,high,api,0.159398341,7,0,0
15,147,0.154415758,0.401690569,3,medium,smb,0.957513964,10,0,0
190,118,0.626770519,0.799073419,5,medium,ssh,0.727565642,17,1,1
40,399,0.028801181,0.522697265,7,low,smb,0.527705421,6,0,0
82,382,0.643719806,0.550038741,3,low,smb,0.9415405,11,0,0
111,412,0.277144352,0.097164682,4,medium,ssh,0.619110438,5,0,0
53,152,0.449676977,0.132330556,6,medium,api,0.725645188,9,0,0
24,72,0.345264552,0.676999605,5,medium,rdp,0.282651819,19,0,0
154,363,0.172756756,0.675046622,3,low,rdp,0.588981844,14,0,0
188,137,0.62198079,0.979103394,3,low,ssh,0.143477244,19,1,1
124,175,0.881975555,0.711952988,9,low,ssh,0.404483145,14,0,1
41,289,0.959084242,0.493243496,3,low,api,0.033240325,18,0,1
157,446,0.192346363,0.857327824,0,low,rdp,0.216628088,5,0,0
15,481,0.717372774,0.104472986,4,low,rdp,0.074868629,18,0,0
45,19,0.664339367,0.449295821,7,low,api,0.38777882,14,0,0
65,195,0.34337779,0.287109111,6,low,ssh,0.843035165,19,0,0
89,330,0.019099199,0.104637807,4,low,ssh,0.377934106,19,0,0
71,424,0.689791247,0.763502085,2,high,api,0.831639626,17,0,1
9,175,0.945494861,0.51079203,0,medium,ssh,0.656498313,1,0,0
88,490,0.632120122,0.55676872,6,medium,smb,0.509529447,6,0,0
129,449,0.435292724,0.411255188,2,low,ssh,0.236891693,4,0,0
136,413,0.525153894,0.460337232,3,medium,smb,0.922156093,2,0,0
63,434,0.199628808,0.116017387,4,low,rdp,0.054200809,5,0,0
139,354,0.750544164,0.672917824,7,high,rdp,0.688913018,5,1,1
81,499,0.74641983,0.43244736,6,medium,ssh,0.621239893,0,0,0
136,141,0.1455173,0.816767573,8,medium,api,0.441041522,18,0,0
163,246,0.877978382,0.1962872,2,high,ssh,0.240320955,11,0,0
163,385,0.269189739,0.205055093,9,low,api,0.430695937,4,1,0
33,418,0.982256061,0.645759572,0,low,rdp,0.872772726,6,0,1
123,93,0.382903014,0.846003423,0,medium,rdp,0.83676611,19,0,0
5,432,0.177884059,0.472197839,9,low,rdp,0.94138125,7,0,0
41,239,0.351720111,0.726953869,0,low,api,0.307793207,18,0,0
28,205,0.440180329,0.999329921,1,medium,api,0.387104158,5,0,0
135,48,0.069307773,0.99026564,1,low,rdp,0.018726153,14,0,0
72,433,0.578218381,0.744336843,6,medium,ssh,0.942949995,5,1,1
12,245,0.59763244,0.73958649,8,high,api,0.329390092,8,1,1
162,320,0.738930455,0.247618887,7,low,smb,0.404163822,3,0,0
33,317,0.029169892,0.833539632,3,low,rdp,0.907804611,15,1,1
48,413,0.541238214,0.405102127,1,low,api,0.52659843,9,0,0
151,295,0.052907433,0.96199391,2,low,rdp,0.566174542,0,0,0
62,128,0.70114422,0.081427689,9,low,smb,0.176232838,10,0,0
37,344,0.055727986,0.435840369,4,low,ssh,0.498660021,16,0,0
99,282,0.911727848,0.555840488,8,low,smb,0.918208601,17,0,1
172,17,0.702082567,0.405156207,7,low,ssh,0.558718088,19,1,1
104,71,0.507389765,0.210579191,2,medium,ssh,0.255116365,19,0,0
35,269,0.441503923,0.592988489,8,high,api,0.031180864,14,0,0
193,325,0.13067263,0.755917915,9,medium,ssh,0.336301773,5,0,0
101,282,0.29099939,0.644838596,2,low,ssh,0.572590914,15,0,0
